"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Jul 10 11:56:51 GMT 2025","Thu Jul 10 11:56:51 GMT 2025","0","clinicalcode.tests.unit_tests","test_publishing","TestPublishing","","","test_publish_request_get[owner_user-ANY]",""
"skipped","Thu Jul 10 11:56:51 GMT 2025","Thu Jul 10 11:56:51 GMT 2025","0","clinicalcode.tests.unit_tests","test_publishing","TestPublishing","","","test_publish_approve_get[None-ANY]",""
"passed","Thu Jul 10 11:57:50 GMT 2025","Thu Jul 10 11:57:51 GMT 2025","1164","clinicalcode.tests.functional_tests","test_detail_components","TestDetailComponents","","","test_anonymous_publication_presence",""
"passed","Thu Jul 10 11:58:28 GMT 2025","Thu Jul 10 11:58:32 GMT 2025","3855","clinicalcode.tests.functional_tests","test_moderation_components","TestModerationComponents","","","test_moderation_component_presence[super_user]",""
"skipped","Thu Jul 10 11:56:51 GMT 2025","Thu Jul 10 11:56:51 GMT 2025","0","clinicalcode.tests.unit_tests","test_publishing","TestPublishing","","","test_publish_request_post[moderator_user-ANY]",""
"passed","Thu Jul 10 11:58:55 GMT 2025","Thu Jul 10 11:58:56 GMT 2025","1000","clinicalcode.tests.functional_tests","test_moderation_components","TestModerationComponents","","","test_moderation_redirect[None]",""
"passed","Thu Jul 10 12:00:13 GMT 2025","Thu Jul 10 12:00:17 GMT 2025","3797","clinicalcode.tests.functional_tests","test_template_versions","TestTemplateVersioning","","","test_export_json[super_user]","
        Test exporting entity data in JSON format is reflected for entity created using template version 2.

        Args:
            live_server: Pytest fixture providing the live server URL.
            generate_user (dict): Dictionary containing user instances.
            generic_entity_v2 (GenericEntity): An instance of the GenericEntity model with version 2.
            user_type (str): Type of user for the test.
            login: Pytest fixture providing a login function.
            logout: Pytest fixture providing a logout function.

        Returns:
            None
        "
"skipped","Thu Jul 10 11:56:51 GMT 2025","Thu Jul 10 11:56:51 GMT 2025","0","clinicalcode.tests.unit_tests","test_publishing","TestPublishing","","","test_publish_approve_get[owner_user-ANY]",""
"passed","Thu Jul 10 11:58:01 GMT 2025","Thu Jul 10 11:58:03 GMT 2025","1522","clinicalcode.tests.functional_tests","test_collection_components","TestCollectionComponents","","","test_collection_redirects[None]",""
"passed","Thu Jul 10 11:58:42 GMT 2025","Thu Jul 10 11:58:45 GMT 2025","3329","clinicalcode.tests.functional_tests","test_moderation_components","TestModerationComponents","","","test_moderation_component_presence[moderator_user]",""
"passed","Thu Jul 10 11:58:13 GMT 2025","Thu Jul 10 11:58:16 GMT 2025","3632","clinicalcode.tests.functional_tests","test_collection_components","TestCollectionComponents","","","test_collection_redirects[normal_user]",""
"passed","Thu Jul 10 11:56:35 GMT 2025","Thu Jul 10 11:56:35 GMT 2025","149","clinicalcode.tests.functional_tests","test_auth_user","TestAuthPhenoAccess","","","test_auth_user_edit","
        Test to verify that non-authenticated users can't update phenotypes.
        "
"passed","Thu Jul 10 11:57:09 GMT 2025","Thu Jul 10 11:57:09 GMT 2025","4","clinicalcode.tests.unit_tests","test_read_only_permissions","TestReadOnlyPermissions","","","test_user_not_allowed_to_create",""
"skipped","Thu Jul 10 11:56:51 GMT 2025","Thu Jul 10 11:56:51 GMT 2025","0","clinicalcode.tests.unit_tests","test_publishing","TestPublishing","","","test_publish_request_get[moderator_user-ANY]",""
"passed","Thu Jul 10 12:00:00 GMT 2025","Thu Jul 10 12:00:03 GMT 2025","2796","clinicalcode.tests.functional_tests","test_template_versions","TestTemplateVersioning","","","test_template_api[super_user]","
        Test the API endpoint related to template version.

        Args:
            generate_user (dict): Dictionary containing user instances.
            user_type (str): Type of user for the test.
            live_server: Pytest fixture providing the live server URL.
            template_v2 (Template): An instance of the Template model with version 2.


        Returns:
            None
        "
"skipped","Thu Jul 10 11:56:51 GMT 2025","Thu Jul 10 11:56:51 GMT 2025","0","clinicalcode.tests.unit_tests","test_publishing","TestPublishing","","","test_publish_request_get[None-ANY]",""
"skipped","Thu Jul 10 11:56:51 GMT 2025","Thu Jul 10 11:56:51 GMT 2025","0","clinicalcode.tests.unit_tests","test_publishing","TestPublishing","","","test_publish_request_post[owner_user-ANY]",""
"passed","Thu Jul 10 11:59:31 GMT 2025","Thu Jul 10 11:59:39 GMT 2025","8371","clinicalcode.tests.functional_tests","test_moderation_components","TestModerationComponents","","","test_moderation_redirect[normal_user]",""
"skipped","Thu Jul 10 11:56:51 GMT 2025","Thu Jul 10 11:56:51 GMT 2025","0","clinicalcode.tests.unit_tests","test_publishing","TestPublishing","","","test_publish_request_post[None-ANY]",""
"skipped","Thu Jul 10 11:56:51 GMT 2025","Thu Jul 10 11:56:51 GMT 2025","0","clinicalcode.tests.unit_tests","test_publishing","TestPublishing","","","test_publish_approve_post[moderator_user-ANY]",""
"skipped","Thu Jul 10 11:59:41 GMT 2025","Thu Jul 10 11:59:41 GMT 2025","0","clinicalcode.tests.functional_tests","test_template_versions","TestTemplateVersioning","","","test_entity_published[super_user]","
        Test if the publishing of a GenericEntity with version 2 reflects in the home page statistics.

        Args:
            live_server: Pytest fixture providing the live server URL.
            generate_user (dict): Dictionary containing user instances.
            login: Pytest fixture providing a login function.
            logout: Pytest fixture providing a logout function.
            user_type (str): Type of user for the test.
            generic_entity_v2 (GenericEntity): An instance of the GenericEntity model with version 2.

       Returns:
           None
       "
"passed","Thu Jul 10 11:59:20 GMT 2025","Thu Jul 10 11:59:20 GMT 2025","846","clinicalcode.tests.functional_tests","test_moderation_components","TestModerationComponents","","","test_moderation_component_presence[None]",""
"passed","Thu Jul 10 11:56:16 GMT 2025","Thu Jul 10 11:56:16 GMT 2025","322","clinicalcode.tests.functional_tests","test_auth_user","TestAuthPhenoAccess","","","test_non_authenticated_user_view_published_phenos","
        Test to verify that non-authenticated users can view published phenotypes.
        "
"skipped","Thu Jul 10 11:56:51 GMT 2025","Thu Jul 10 11:56:51 GMT 2025","0","clinicalcode.tests.unit_tests","test_publishing","TestPublishing","","","test_publish_request_get[normal_user-ANY]",""
"passed","Thu Jul 10 11:57:37 GMT 2025","Thu Jul 10 11:57:47 GMT 2025","10290","clinicalcode.tests.functional_tests","test_search_filters","TestSearchFilters","","","test_tags_filter[super_user]",""
