"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 10 16:37:27 GMT 2025","Fri Jan 10 16:37:27 GMT 2025","340","clinicalcode.tests.unit_tests","test_publishing","TestPublishing","","","test_publish_request_post[owner_user-ANY]",""
"passed","Fri Jan 10 16:32:49 GMT 2025","Fri Jan 10 16:32:49 GMT 2025","4","clinicalcode.tests.unit_tests","test_read_only_permissions","TestReadOnlyPermissions","","","test_user_not_allowed_to_create",""
"passed","Fri Jan 10 16:36:02 GMT 2025","Fri Jan 10 16:36:02 GMT 2025","240","clinicalcode.tests.unit_tests","test_publishing","TestPublishing","","","test_publish_approve_get[owner_user-ANY]",""
"passed","Fri Jan 10 16:33:40 GMT 2025","Fri Jan 10 16:33:44 GMT 2025","4474","clinicalcode.tests.functional_tests","test_detail_components","TestDetailComponents","","","test_publish_btn_presence[moderator_user-REQUESTED]",""
"passed","Fri Jan 10 16:35:41 GMT 2025","Fri Jan 10 16:35:41 GMT 2025","17","clinicalcode.tests.unit_tests","test_publishing","TestPublishing","","","test_publish_approve_get[None-ANY]",""
"passed","Fri Jan 10 16:34:47 GMT 2025","Fri Jan 10 16:34:47 GMT 2025","172","clinicalcode.tests.unit_tests","test_publishing","TestPublishing","","","test_publish_request_get[None-ANY]",""
"passed","Fri Jan 10 16:32:24 GMT 2025","Fri Jan 10 16:32:28 GMT 2025","4212","clinicalcode.tests.functional_tests","test_template_versions","TestTemplateVersioning","","","test_export_json[super_user]","
        Test exporting entity data in JSON format is reflected for entity created using template version 2.

        Args:
            live_server: Pytest fixture providing the live server URL.
            generate_user (dict): Dictionary containing user instances.
            generic_entity_v2 (GenericEntity): An instance of the GenericEntity model with version 2.
            user_type (str): Type of user for the test.
            login: Pytest fixture providing a login function.
            logout: Pytest fixture providing a logout function.

        Returns:
            None
        "
"passed","Fri Jan 10 16:33:55 GMT 2025","Fri Jan 10 16:34:00 GMT 2025","4369","clinicalcode.tests.functional_tests","test_detail_components","TestDetailComponents","","","test_publish_btn_presence[owner_user-ANY]",""
"passed","Fri Jan 10 16:36:55 GMT 2025","Fri Jan 10 16:36:55 GMT 2025","194","clinicalcode.tests.unit_tests","test_publishing","TestPublishing","","","test_publish_approve_get[moderator_user-ANY]",""
"passed","Fri Jan 10 16:31:46 GMT 2025","Fri Jan 10 16:31:48 GMT 2025","2517","clinicalcode.tests.functional_tests","test_collection_components","TestCollectionComponents","","","test_collection_redirects[None]",""
