"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 10 17:01:59 GMT 2025","Fri Oct 10 17:02:07 GMT 2025","8584","clinicalcode.tests.functional_tests","test_moderation_components","TestModerationComponents","","","test_moderation_redirect[normal_user]",""
"skipped","Fri Oct 10 16:58:34 GMT 2025","Fri Oct 10 16:58:34 GMT 2025","0","clinicalcode.tests.unit_tests","test_publishing","TestPublishing","","","test_publish_approve_post[None-ANY]",""
"skipped","Fri Oct 10 16:58:34 GMT 2025","Fri Oct 10 16:58:34 GMT 2025","0","clinicalcode.tests.unit_tests","test_publishing","TestPublishing","","","test_publish_approve_get[moderator_user-ANY]",""
"skipped","Fri Oct 10 16:58:34 GMT 2025","Fri Oct 10 16:58:34 GMT 2025","1","clinicalcode.tests.unit_tests","test_publishing","TestPublishing","","","test_publish_request_get[None-ANY]",""
"passed","Fri Oct 10 17:03:07 GMT 2025","Fri Oct 10 17:03:08 GMT 2025","777","clinicalcode.tests.functional_tests","test_moderation_components","TestModerationComponents","","","test_moderation_component_presence[None]",""
"passed","Fri Oct 10 17:01:13 GMT 2025","Fri Oct 10 17:01:13 GMT 2025","4","clinicalcode.tests.unit_tests","test_read_only_permissions","TestReadOnlyPermissions","","","test_user_not_allowed_to_create",""
"skipped","Fri Oct 10 16:58:34 GMT 2025","Fri Oct 10 16:58:34 GMT 2025","0","clinicalcode.tests.unit_tests","test_publishing","TestPublishing","","","test_publish_request_post[moderator_user-ANY]",""
"skipped","Fri Oct 10 16:58:34 GMT 2025","Fri Oct 10 16:58:34 GMT 2025","0","clinicalcode.tests.unit_tests","test_publishing","TestPublishing","","","test_publish_request_post[None-ANY]",""
"skipped","Fri Oct 10 16:58:34 GMT 2025","Fri Oct 10 16:58:34 GMT 2025","0","clinicalcode.tests.unit_tests","test_publishing","TestPublishing","","","test_publish_request_get[moderator_user-ANY]",""
"passed","Fri Oct 10 17:04:32 GMT 2025","Fri Oct 10 17:04:32 GMT 2025","164","clinicalcode.tests.functional_tests","test_auth_user","TestAuthPhenoAccess","","","test_auth_user_edit","
        Test to verify that non-authenticated users can't update phenotypes.
        "
